Geometric height,Geopotential height,temperature,pressure,density
19800,19738.7,216.66,5705.93,0.0917492
19900,19838,216.66,5617.21,0.0903227
20000,19937.4,216.66,5529.87,0.0889184
20100,20036.8,216.66,5443.9,0.087536
20200,20136.2,216.66,5359.27,0.0861751
20300,20235.5,216.66,5275.95,0.0848354
20400,20334.9,216.66,5193.93,0.0835165
20500,20434.2,216.66,5113.19,0.0822183
20600,20533.6,216.66,5033.71,0.0809402
20700,20633,216.66,4955.46,0.079682
20800,20732.3,216.66,4878.43,0.0784435
20900,20831.7,216.66,4802.61,0.0772242
21000,20931,216.66,4727.96,0.0760239
21100,21030.3,216.66,4654.48,0.0748423
21200,21129.7,216.66,4582.14,0.0736791
21300,21229,216.66,4510.92,0.072534
21400,21328.4,216.66,4440.82,0.0714068
21500,21427.7,216.66,4371.81,0.0702971
21600,21527,216.66,4303.87,0.0692047
21700,21626.3,216.66,4236.99,0.0681293
21800,21725.7,216.66,4171.15,0.0670706
21900,21825,216.66,4106.34,0.0660284
22000,21924.3,216.66,4042.53,0.0650025
22100,22023.6,216.66,3979.72,0.0639925
22200,22122.9,216.66,3917.89,0.0629983
22300,22222.2,216.66,3857.02,0.0620195
22400,22321.5,216.66,3797.09,0.0610559
22500,22420.8,216.66,3738.1,0.0601074
22600,22520.1,216.66,3680.03,0.0591736
22700,22619.4,216.66,3622.86,0.0582544
22800,22718.7,216.66,3566.59,0.0573494
22900,22818,216.66,3511.18,0.0564586
23000,22917.3,216.66,3456.64,0.0555816
23100,23016.5,216.66,3402.95,0.0547183
23200,23115.8,216.66,3350.1,0.0538684
23300,23215.1,216.66,3298.06,0.0530317
23400,23314.4,216.66,3246.84,0.052208
23500,23413.6,216.66,3196.42,0.0513972
23600,23512.9,216.66,3146.77,0.050599
23700,23612.2,216.66,3097.9,0.0498132
23800,23711.4,216.66,3049.8,0.0490396
23900,23810.7,216.66,3002.44,0.0482781
24000,23909.9,216.66,2955.81,0.0475284
24100,24009.2,216.66,2909.92,0.0467904
24200,24108.4,216.66,2864.73,0.0460639
24300,24207.7,216.66,2820.25,0.0453486
24400,24306.9,216.66,2776.46,0.0446445
24500,24406.1,216.66,2733.36,0.0439514
24600,24505.4,216.66,2690.92,0.043269
24700,24604.6,216.66,2649.14,0.0425973
24800,24703.8,216.66,2608.02,0.041936
24900,24803.1,216.66,2567.53,0.0412849
25000,24902.3,216.66,2527.67,0.0406441
25100,25001.5,216.66,2488.43,0.0400131
25200,25100.7,216.962,2449.83,0.0393375
25300,25199.9,217.26,2411.88,0.0386751
25400,25299.1,217.557,2374.57,0.0380248
25500,25398.3,217.855,2337.89,0.0373862
25600,25497.5,218.153,2301.83,0.0367593
25700,25596.7,218.45,2266.37,0.0361437
25800,25695.9,218.748,2231.51,0.0355393
25900,25795.1,219.045,2197.23,0.0349458
26000,25894.3,219.343,2163.52,0.0343631
26100,25993.5,219.641,2130.38,0.0337908
26200,26092.7,219.938,2097.78,0.0332288
26300,26191.9,220.236,2065.74,0.032677
26400,26291.1,220.533,2034.22,0.032135
26500,26390.2,220.831,2003.23,0.0316028
26600,26489.4,221.128,1972.75,0.0310801
26700,26588.6,221.426,1942.77,0.0305667
26800,26687.7,221.723,1913.29,0.0300625
26900,26786.9,222.021,1884.3,0.0295673
27000,26886.1,222.318,1855.79,0.0290809
27100,26985.2,222.616,1827.75,0.0286032
27200,27084.4,222.913,1800.16,0.028134
27300,27183.5,223.211,1773.03,0.027673
27400,27282.7,223.508,1746.35,0.0272203
27500,27381.8,223.805,1720.1,0.0267755
27600,27480.9,224.103,1694.28,0.0263386
27700,27580.1,224.4,1668.89,0.0259094
27800,27679.2,224.698,1643.9,0.0254878
27900,27778.4,224.995,1619.33,0.0250736
28000,27877.5,225.292,1595.15,0.0246667
28100,27976.6,225.59,1571.37,0.0242669
28200,28075.7,225.887,1547.98,0.0238741
28300,28174.8,226.185,1524.96,0.0234882
28400,28274,226.482,1502.31,0.023109
28500,28373.1,226.779,1480.03,0.0227365
28600,28472.2,227.077,1458.12,0.0223704
28700,28571.3,227.374,1436.55,0.0220107
28800,28670.4,227.671,1415.33,0.0216573
28900,28769.5,227.968,1394.45,0.02131
29000,28868.6,228.266,1373.91,0.0209687
29100,28967.7,228.563,1353.7,0.0206334
29200,29066.8,228.86,1333.81,0.0203038
29300,29165.9,229.158,1314.24,0.0199799
29400,29265,229.455,1294.98,0.0196617
29500,29364,229.752,1276.03,0.0193489
29600,29463.1,230.049,1257.38,0.0190414
29700,29562.2,230.347,1239.03,0.0187393
29800,29661.3,230.644,1220.96,0.0184423
29900,29760.3,230.941,1203.19,0.0181505
30000,29859.4,231.238,1185.7,0.0178636
30100,29958.5,231.535,1168.48,0.0175816
30200,30057.5,231.833,1151.54,0.0173045
30300,30156.6,232.13,1134.86,0.017032
30400,30255.6,232.427,1118.45,0.0167642
30500,30354.7,232.724,1102.29,0.016501
30600,30453.7,233.021,1086.39,0.0162422
30700,30552.8,233.318,1070.74,0.0159878
30800,30651.8,233.615,1055.33,0.0157377
30900,30750.9,233.913,1040.17,0.0154919
31000,30849.9,234.21,1025.24,0.0152502
31100,30948.9,234.507,1010.55,0.0150126
31200,31048,234.804,996.081,0.014779
31300,31147,235.101,981.842,0.0145493
31400,31246,235.398,967.824,0.0143235
31500,31345,235.695,954.023,0.0141014
31600,31444,235.992,940.437,0.0138831
31700,31543.1,236.289,927.062,0.0136685
31800,31642.1,236.586,913.894,0.0134574
31900,31741.1,236.883,900.929,0.0132498
32000,31840.1,237.18,888.164,0.0130458
32100,31939.1,237.477,875.597,0.0128451
32200,32038.1,237.774,863.223,0.0126477
32300,32137.1,238.071,851.039,0.0124537
32400,32236.1,238.368,839.043,0.0122628
32500,32335.1,238.665,827.23,0.0120751
32600,32434,238.962,815.599,0.0118906
32700,32533,239.259,804.146,0.011709
32800,32632,239.556,792.868,0.0115305
32900,32731,239.853,781.762,0.0113549
33000,32830,240.15,770.825,0.0111822
33100,32928.9,240.447,760.055,0.0110124
33200,33027.9,240.744,749.449,0.0108453
33300,33126.9,241.041,739.004,0.010681
33400,33225.8,241.337,728.717,0.0105193
33500,33324.8,241.634,718.586,0.0103604
33600,33423.7,241.931,708.609,0.010204
33700,33522.7,242.228,698.782,0.0100501
33800,33621.6,242.525,689.104,0.00989881
33900,33720.6,242.822,679.572,0.00974995
34000,33819.5,243.119,670.183,0.00960351
34100,33918.5,243.415,660.936,0.00945945
34200,34017.4,243.712,651.827,0.00931772
34300,34116.3,244.009,642.855,0.00917829
34400,34215.3,244.306,634.018,0.00904112
34500,34314.2,244.603,625.312,0.00890616
34600,34413.1,244.899,616.737,0.00877339
